,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__svm_gamma,param_clf__svm_nu,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
55,0.05,0.00,0.12,0.01,0.0001,0.6,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.6}",0.55,0.56,0.51,0.52,0.53,0.53,0.02,31,0.54,0.55,0.53,0.57,0.54,0.55,0.01
56,0.05,0.00,0.14,0.00,0.0001,0.7,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.7}",0.53,0.56,0.50,0.52,0.54,0.53,0.02,37,0.53,0.54,0.54,0.56,0.53,0.54,0.01
57,0.05,0.00,0.16,0.01,0.0001,0.8,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.8}",0.54,0.55,0.49,0.51,0.54,0.52,0.02,42,0.53,0.54,0.53,0.56,0.53,0.54,0.01
58,0.05,0.00,0.17,0.01,0.0001,0.9,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 0.9}",0.55,0.55,0.50,0.51,0.54,0.53,0.02,36,0.54,0.54,0.53,0.56,0.54,0.54,0.01
59,0.05,0.00,0.19,0.00,0.0001,1.0,"{'clf__svm_gamma': 0.0001, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
60,0.02,0.00,0.03,0.00,0.001,0.1,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.1}",0.51,0.52,0.46,0.50,0.48,0.50,0.02,50,0.49,0.52,0.53,0.51,0.49,0.51,0.02
61,0.03,0.00,0.05,0.01,0.001,0.2,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.2}",0.59,0.52,0.50,0.56,0.58,0.55,0.03,15,0.56,0.58,0.53,0.56,0.58,0.56,0.02
62,0.04,0.00,0.07,0.00,0.001,0.3,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.3}",0.55,0.54,0.52,0.56,0.55,0.54,0.02,21,0.54,0.56,0.55,0.57,0.57,0.56,0.01
63,0.04,0.00,0.08,0.00,0.001,0.4,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.4}",0.52,0.55,0.51,0.53,0.50,0.52,0.02,41,0.53,0.57,0.54,0.57,0.53,0.55,0.02
64,0.05,0.01,0.10,0.00,0.001,0.5,"{'clf__svm_gamma': 0.001, 'clf__svm_nu': 0.5}",0.55,0.57,0.52,0.52,0.54,0.54,0.02,23,0.54,0.56,0.54,0.57,0.55,0.55,0.01
