,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__data_contamination,param_clf__knn_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
12,0.03171558380126953,0.001716171972060685,6.13938159942627,0.09779063448005951,0.05,3,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 3}",0.707014638580385,0.6999873244285009,0.705384159571956,0.6883880273905546,0.7074130485715351,0.7016374397085863,0.007135539816860344,7,0.8235907974420507,0.8115886419226241,0.8274460293789065,0.8333215679681748,0.8267923180832113,0.8245478709589935,0.007201003142106679
13,0.029720592498779296,0.0014658238285096467,6.187652063369751,0.13031555789567134,0.05,4,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 4}",0.708882407609956,0.6994461356958358,0.6931433890974558,0.6735286020207746,0.6963208300901738,0.6942642729028392,0.01162751408702743,13,0.8079406061057769,0.7864654361911412,0.8001541938401863,0.8144457108964953,0.8040598141788126,0.8026131522424824,0.00935178325051623
14,0.0315129280090332,0.0010162240973198818,6.154141902923584,0.09315046147948947,0.05,5,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 5}",0.6995711732660576,0.6701379828731254,0.696789013824541,0.6533087183294806,0.6857725727920888,0.6811158922170587,0.01733021769439698,22,0.7872968321178807,0.7696313404290984,0.7718717817455036,0.7914850405817422,0.7789044991445452,0.779837898803754,0.008482873187145466
15,0.0299196720123291,0.0016688959486065168,6.129807996749878,0.11566941382983763,0.05,6,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 6}",0.70141879203483,0.669776785105767,0.6906569934828178,0.664806633049774,0.6928692576299068,0.683905692260619,0.014121149501040058,17,0.7795427001506786,0.7596667669203172,0.7575909970904192,0.777683773248006,0.7729799290879164,0.7694928332994675,0.009148294307027226
16,0.030318641662597658,0.001850373062660201,6.08086838722229,0.06824894329928262,0.05,7,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 7}",0.7090513196657552,0.6588338431547984,0.6823141558309521,0.6508865635125777,0.6901425368755251,0.6782456838079217,0.02113014812535452,24,0.759080546119092,0.7512271957937309,0.744662450894676,0.7638916383060785,0.7659396950566748,0.7569603052340504,0.00796585219998206
17,0.02852325439453125,0.0011969569669511358,6.064942216873169,0.1414636461211432,0.05,8,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 8}",0.6915744831195216,0.6787380918317271,0.6853994888622837,0.6449241748899869,0.6825116132022567,0.6766295703811552,0.016398404072538383,26,0.7541635731752784,0.7351277369054179,0.7375645182859022,0.7540642696819846,0.7560093420510098,0.7473858880199186,0.009073294102077096
18,0.030916833877563478,0.003024881481661518,6.03826870918274,0.11702347690946698,0.05,9,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 9}",0.6826019950676527,0.6655487645227159,0.6833833263515876,0.6395261018747063,0.6870906706488686,0.6716301716931061,0.01769293301081724,31,0.7476899305192662,0.729113728119384,0.7266806313054025,0.753441975424307,0.7459008808331558,0.7405654292403032,0.010667334025503152
19,0.03191432952880859,0.0015446181333072036,6.010575866699218,0.10386660056260952,0.05,10,"{'clf__data_contamination': 0.05, 'clf__knn_neighbors': 10}",0.6964130930404627,0.6536702095944082,0.6781001922794984,0.630526716592209,0.6847295643540334,0.6686879551721224,0.023649183979660423,32,0.7392344940618351,0.7124129969924317,0.7256965395377101,0.7394726971548807,0.7328036168332653,0.7299240689160246,0.010106055198791103
20,0.02712697982788086,0.005216980934944913,5.440141868591309,0.1782790815383589,0.1,1,"{'clf__data_contamination': 0.1, 'clf__knn_neighbors': 1}",0.702330382089493,0.6895314777425489,0.7258542196489329,0.6857441376373796,0.7000926610378286,0.7007105756312366,0.014029789176779675,8,0.8621516135833238,0.874863524885999,0.8712071935728305,0.8725580536152066,0.8664155099457636,0.8694391791206246,0.00457226348623868
21,0.0287229061126709,0.000977992634840604,5.5158998489379885,0.18016896495238335,0.1,2,"{'clf__data_contamination': 0.1, 'clf__knn_neighbors': 2}",0.6900081187271427,0.6945284241930045,0.7123642326289714,0.6813094964147757,0.6955994290554784,0.6947619402038746,0.010140647695823157,11,0.8103963376956124,0.8249756743746521,0.8341432549238258,0.8339982927847986,0.8227990314879744,0.8252625182533727,0.008744548145030982
