,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__data_contamination,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14,0.06682033538818359,0.004761895974028612,0.04049224853515625,0.0007977247576629614,0.14,{'clf__data_contamination': 0.14},0.5762429216707056,0.580500694112372,0.595358134570361,0.6001289125838858,0.6021733816086586,0.5908808089091966,0.010536703382259472,15,0.6184299919684678,0.6000827136543261,0.6280183870694602,0.5950369916506657,0.6113636183854471,0.6105863405456734,0.011984253864311187
15,0.0656252384185791,0.003857044328413673,0.045677804946899415,0.004296501309617173,0.15,{'clf__data_contamination': 0.15},0.5703550621339565,0.5755235543955133,0.5888019227121677,0.6028118572923005,0.6022665354989096,0.5879517864065695,0.013345876787163206,16,0.6153823571379622,0.5964234202291633,0.624073602300805,0.5922454262233536,0.6097282645416892,0.6075706140865946,0.011808037253702323
16,0.06482625007629395,0.0014105710946908084,0.041490697860717775,0.0013555384677852748,0.16,{'clf__data_contamination': 0.16},0.5537193188528373,0.5699670141866762,0.5904208315321369,0.6043721625651777,0.5928482697084483,0.5822655193690552,0.018073993406311856,17,0.6086895480661474,0.5925425831658991,0.6224787450567388,0.590844165399929,0.6090366966829843,0.6047183476743399,0.011752382405637236
17,0.06702051162719727,0.006096482088525684,0.047273683547973636,0.006983853916656089,0.17,{'clf__data_contamination': 0.17},0.551919713665375,0.5702328499646139,0.5659349008576346,0.5972575426693083,0.5887522491267908,0.5748194512567444,0.016260141030673858,18,0.6098124849983644,0.587522307170568,0.5935947754158398,0.5860299922531866,0.6056277378343047,0.5965174595344527,0.009583284314567037
18,0.07519869804382324,0.007179714822161425,0.04148879051208496,0.0016204464467845562,0.18,{'clf__data_contamination': 0.18},0.5583910612474209,0.5523472007468555,0.5587714723502647,0.5951931592147167,0.5903104952076335,0.5710026777533782,0.017970271489466103,19,0.6090786610829773,0.5819394430473535,0.5888203831838826,0.5822690047189875,0.5978544075605704,0.5919923799187543,0.010314761271092456
19,0.07240738868713378,0.012306817710637597,0.04188623428344727,0.0014098983386350839,0.19,{'clf__data_contamination': 0.19},0.558114980541128,0.552998253614895,0.5558806015075867,0.5787494518448029,0.5810119156573922,0.565351040633161,0.011995178694177114,22,0.6012644823681444,0.5796492215237158,0.5829876671681585,0.5804664659490001,0.5957710138688538,0.5880277701755745,0.008808455142715757
20,0.06622376441955566,0.0010157090006582994,0.041092443466186526,0.0011667080966518218,0.2,{'clf__data_contamination': 0.2},0.5531054273596396,0.5569709084768301,0.5735849767220377,0.5738436498230481,0.5779124541752073,0.5670834833113526,0.010028819429806105,20,0.600300132668383,0.5754167143267527,0.6126179090994226,0.5776421758223844,0.5907953419895378,0.5913544547812961,0.013960733609347882
21,0.07001166343688965,0.0068632812439980845,0.04089059829711914,0.0012609368029340578,0.21,{'clf__data_contamination': 0.21},0.5487777533883209,0.5617374251244323,0.5741938210218758,0.5713271134733541,0.5770272258030376,0.5666126677622041,0.010295776452475971,21,0.5960579658739303,0.5721574338571542,0.6096100304105534,0.5750101727146455,0.5886674447241784,0.5883006095160924,0.013795944297642398
22,0.06721854209899902,0.0033726899909414442,0.04129061698913574,0.0024101279777366657,0.22,{'clf__data_contamination': 0.22},0.5468198214266606,0.5575622838246936,0.5399793284321116,0.5639323545351165,0.5741216991124539,0.5564830974662073,0.012112222242489302,23,0.5916235649502184,0.5706310213483337,0.5707891483591333,0.5680944948620671,0.5876802586041672,0.577763697624784,0.00983307677511599
23,0.06362991333007813,0.0017155733757197623,0.04208874702453613,0.0021297856806562956,0.23,{'clf__data_contamination': 0.23},0.5388523830438559,0.5545881680770939,0.5436059301807364,0.5641535275425439,0.5615943823379569,0.5525588782364375,0.009881472901444434,24,0.5881892536011667,0.5652397564823303,0.5678048461802344,0.5628789327296988,0.5792205284123862,0.5726666634811632,0.009576010002818828
